Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Infraction Score,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Total Actions
Alistair Johnston,CAN,DF,0,511,0,2,5,0,4,1,2,0.18,0.0,2,0,12,52,16,240,184,76.67,24,25,3,17,53,2,100,5,4,1,0,0,0,1,,,,
Maxime Crepeau,CAN,GK,0,511,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,123,92,74.8,0,0,0,2,0,1,0,1,1,0,0,0,0,0,7.0,49.0,40.0,89.0
Lucas Digne,FRA,DF,0,513,0,1,2,0,0,2,0,0.03,0.0,0,0,27,59,10,283,252,89.05,17,6,0,8,50,1,100,7,2,0,0,0,0,0,,,,
Renato Veiga,POR,DF,0,518,0,0,2,0,2,0,2,0.28,0.0,0,0,9,45,11,336,320,95.24,0,0,1,4,50,1,100,5,3,2,0,0,0,2,,,,
Diogo Costa,POR,GK,0,518,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,125,98,78.4,0,0,0,5,20,2,0,0,1,0,0,0,0,0,20.0,114.0,93.0,207.0
Marquinhos,BRA,DF,0,520,0,0,2,0,2,0,1,0.21,0.0,0,0,11,45,12,380,367,96.58,1,100,0,4,75,6,100,0,2,0,0,0,1,0,,,,
Alisson,BRA,GK,0,520,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,132,107,81.06,0,0,1,3,0,1,100,0,0,0,0,0,0,0,15.0,67.0,59.0,126.0
Nico Oreilly,ENG,DF,0,523,0,1,7,0,6,1,5,0.88,0.0,0,0,19,119,25,216,200,92.59,6,50,4,6,67,2,100,6,4,1,0,0,0,1,,,,
William Saliba,FRA,DF,0,533,0,0,1,0,1,0,1,0.06,0.0,0,0,14,28,14,315,307,97.46,0,0,1,1,0,2,100,4,0,0,0,0,0,0,,,,
Jhon Lucumi,COL,DF,0,538,0,0,2,0,2,0,2,0.11,0.0,0,0,11,29,12,285,262,91.93,0,0,1,6,17,12,100,5,0,1,0,0,0,1,,,,
Camilo Vargas,COL,GK,0,541,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,202,157,77.72,0,0,0,10,20,0,0,0,0,0,0,0,0,0,7.0,57.0,54.0,111.0
Davinson Sanchez,COL,DF,0,541,0,2,6,0,5,1,4,0.54,0.0,0,0,20,32,18,361,324,89.75,0,0,1,10,20,6,100,6,5,1,0,0,1,1,,,,
Noussair Mazraoui,MAR,DF,0,542,0,0,0,0,0,0,0,0.0,0.0,0,0,29,59,20,275,251,91.27,4,0,5,5,40,0,0,4,6,0,0,0,0,0,,,,
Nicolas Tagliafico,ARG,DF,0,543,0,0,0,0,0,0,0,0.0,0.0,0,0,14,98,25,217,190,87.56,4,25,2,8,50,2,100,9,16,0,0,0,2,0,,,,
Mostafa Shoubir,EGY,GK,0,546,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,147,114,77.55,0,0,0,3,0,0,0,0,5,1,0,0,0,1,14.0,119.0,105.0,224.0
Andres Cubas,PAR,MF,0,554,0,0,1,0,0,1,0,0.02,0.0,0,0,43,231,57,117,97,82.91,0,0,0,1,0,1,100,14,3,1,0,0,0,1,,,,
Orlando Gill,PAR,GK,0,554,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,159,68,42.77,0,0,0,10,0,1,100,0,3,0,0,0,0,0,28.0,141.0,124.0,265.0
Gustavo Gomez,PAR,DF,0,554,0,0,2,0,2,0,2,0.07,0.0,0,0,9,31,10,91,80,87.91,0,0,0,0,0,0,0,3,2,0,0,0,1,0,,,,
Kristoffer Ajer,NOR,DF,0,554,0,1,2,0,2,0,2,0.2,0.0,0,0,12,29,8,273,256,93.77,2,100,3,1,100,0,0,2,1,1,0,0,0,1,,,,
Sander Berge,NOR,MF,0,554,0,0,0,0,0,0,0,0.0,0.0,0,0,9,101,17,425,412,96.94,2,0,1,4,75,2,100,6,2,0,0,0,0,0,,,,
Orjan Nyland,NOR,GK,0,554,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,204,138,67.65,0,0,0,6,0,2,50,0,0,0,0,0,0,0,17.0,107.0,93.0,200.0
Leandro Paredes,ARG,MF,0,557,0,1,4,0,0,4,0,0.07,0.0,1,0,18,63,19,565,532,94.16,2,50,3,8,38,7,100,9,3,2,0,0,0,2,,,,
Pedri,ESP,MF,0,565,0,2,5,0,1,4,0,0.47,0.0,8,0,51,257,38,469,420,89.55,14,36,2,16,75,2,100,4,5,1,0,0,1,1,,,,
Nahuel Molina,ARG,DF,0,592,0,0,1,0,0,1,0,0.02,0.0,0,0,27,128,26,276,234,84.78,6,0,1,6,33,2,100,3,0,0,0,0,1,0,,,,
Thibaut Courtois,BEL,GK,0,625,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,198,144,72.73,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17.0,110.0,90.0,200.0
Neil El Aynaoui,MAR,MF,0,634,0,2,7,0,5,2,4,0.6,0.0,1,0,51,132,48,433,405,93.53,0,0,1,3,0,3,67,15,7,0,0,0,0,0,,,,
Yassine Bounou,MAR,GK,0,650,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,211,142,67.3,0,0,0,9,0,0,0,0,4,0,0,0,0,0,19.0,112.0,91.0,203.0
Brandon Mechele,BEL,DF,0,651,0,1,5,0,5,0,4,0.39,0.0,0,0,16,48,15,399,369,92.48,0,0,1,4,50,2,100,9,2,1,0,0,0,1,,,,
Remo Freuler,SUI,MF,0,654,0,1,2,0,1,1,0,0.07,0.0,0,0,27,193,31,324,299,92.28,5,20,0,7,71,2,0,8,3,0,0,0,1,0,,,,
Jules Kounde,FRA,DF,0,666,0,0,2,0,2,0,1,0.06,0.0,0,0,33,132,25,353,314,88.95,15,13,0,7,43,0,0,6,5,0,0,0,1,0,,,,
Manuel Akanji,SUI,DF,0,673,0,1,1,0,1,0,0,0.18,0.0,0,0,15,44,21,479,444,92.69,0,0,0,8,88,8,100,4,4,0,0,0,0,0,,,,
Gregor Kobel,SUI,GK,0,673,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,255,190,74.51,0,0,0,6,0,2,50,0,3,0,0,0,0,0,20.0,100.0,88.0,188.0
Nico Elvedi,SUI,DF,0,673,0,0,3,0,3,0,2,0.3,0.0,0,0,8,48,12,438,406,92.69,0,0,3,2,50,5,100,5,6,1,0,0,0,1,,,,
Jordan Pickford,ENG,GK,0,756,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,265,190,71.7,0,0,0,12,42,3,33,0,4,0,0,0,0,0,19.0,133.0,110.0,243.0
Marc Guehi,ENG,DF,0,761,0,0,1,0,1,0,1,0.15,0.0,0,0,8,32,7,532,514,96.62,0,0,2,10,70,4,75,4,13,1,0,0,0,1,,,,
Mike Maignan,FRA,GK,0,810,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,225,179,79.56,0,0,0,3,33,1,100,0,2,0,0,0,0,0,15.0,108.0,86.0,194.0
Rodri,ESP,MF,0,819,0,0,7,0,2,5,1,0.27,0.0,0,0,43,112,39,799,747,93.49,3,0,2,21,90,11,91,11,9,0,0,0,1,0,,,,
Pau Cubarsi,ESP,DF,0,857,0,2,4,0,1,3,1,0.3,0.0,0,0,14,33,13,690,668,96.81,1,0,0,7,71,2,100,4,5,1,0,0,0,1,,,,
Unai Simon,ESP,GK,0,857,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,314,253,80.57,0,0,0,5,20,2,100,0,3,0,0,0,0,0,14.0,120.0,93.0,213.0
Emiliano Martinez,ARG,GK,0,934,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,268,195,72.76,0,0,0,10,20,1,100,0,1,0,0,0,0,0,20.0,111.0,97.0,208.0
