Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Infraction Score,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Total Actions
Eldor Shomurodov,UZB,FW,1,304,0,2,4,25,4,0,0,0.17,5.79,0,0,28,96,11,72,52,72.22,1,0,5,4,25,0,0,8,4,0,0,0,1,0,,,,
Jamal Musiala,GER,MF,1,305,0,1,6,17,4,2,0,0.34,2.92,0,0,13,107,19,104,86,82.69,8,0,10,9,67,0,0,5,11,1,0,0,0,1,,,,
Finn Surman,NZL,DF,1,306,0,1,2,50,2,0,2,0.24,4.18,0,0,5,28,11,145,135,93.1,0,0,0,1,100,0,0,4,1,0,0,0,0,0,,,,
Caleb Yirenkyi,GHA,MF,1,307,0,1,2,50,2,0,0,0.75,1.33,0,0,12,128,14,70,62,88.57,1,0,2,4,25,0,0,7,3,2,0,0,0,2,,,,
Kerim Alajbegovic,BIH,FW,1,312,0,1,4,25,1,3,0,0.14,7.25,7,0,9,98,8,90,69,76.67,16,6,12,13,77,1,0,4,6,0,0,0,1,0,,,,
Arda Guler,TUR,FW,1,313,0,4,12,8,3,9,0,0.75,1.34,11,0,12,62,7,198,170,85.86,14,29,6,9,67,5,80,3,10,0,0,0,2,0,,,,
Sidny Lopes Cabral,CPV,DF,1,324,0,2,4,25,0,4,0,0.11,8.93,8,0,22,77,9,105,87,82.86,11,9,3,3,33,0,0,2,9,2,0,0,0,2,,,,
Martin Baturina,CRO,MF,1,344,0,1,3,33,0,3,0,0.1,10.18,2,0,17,119,8,93,80,86.02,10,20,8,8,50,1,100,1,14,0,0,0,0,0,,,,
Connor Metcalfe,AUS,MF,1,354,0,2,5,20,1,4,0,0.11,9.21,3,0,28,180,11,80,65,81.25,8,13,3,7,71,1,0,1,0,0,0,0,0,0,,,,
Antonio Nusa,NOR,FW,1,357,0,2,6,17,4,2,0,0.37,2.7,0,0,7,112,16,83,62,74.7,7,14,10,6,33,1,100,1,5,1,0,0,2,1,,,,
Leroy Sane,GER,MF,1,360,0,2,6,17,5,1,0,1.57,0.64,1,0,10,84,15,189,161,85.19,11,18,7,9,44,0,0,3,2,0,0,0,1,0,,,,
Rafik Belghali,ALG,DF,1,362,0,1,3,33,2,1,0,0.28,3.6,0,0,10,64,10,183,168,91.8,5,40,3,3,67,0,0,4,2,0,0,0,0,0,,,,
Fabian Ruiz,ESP,MF,1,366,0,2,8,13,4,4,1,1.33,0.75,0,0,9,82,10,297,266,89.56,7,29,0,12,58,3,100,1,3,0,0,0,0,0,,,,
Franck Kessie,CIV,MF,1,389,0,2,4,25,4,0,0,0.71,1.4,1,0,13,135,13,188,165,87.77,4,0,2,13,46,2,50,7,2,1,0,0,1,1,,,,
Kevin Pina,CPV,MF,1,389,0,1,5,20,0,5,0,0.09,11.33,0,0,22,93,23,156,134,85.9,1,0,3,1,0,3,67,5,3,1,0,0,0,1,,,,
Jhon Arias,COL,MF,1,405,0,4,9,11,7,2,0,0.94,1.07,4,0,33,107,27,240,227,94.58,6,17,6,7,71,3,100,5,2,1,0,0,0,1,,,,
Gonzalo Plata,ECU,FW,1,407,0,5,8,13,4,4,1,1.16,0.86,4,0,14,135,11,147,118,80.27,9,11,8,8,38,1,100,5,4,1,0,0,0,1,,,,
Marcel Sabitzer,AUT,MF,1,412,0,2,5,20,1,4,0,0.46,2.19,9,0,26,137,10,126,94,74.6,30,33,3,16,69,1,100,2,3,1,0,0,1,1,,,,
Kevin De Bruyne,BEL,MF,1,412,0,5,20,5,9,11,0,1.39,0.72,14,0,14,145,13,185,153,82.7,21,24,5,21,48,2,100,2,4,1,0,0,0,1,,,,
Casemiro,BRA,MF,1,425,0,2,4,25,2,2,2,0.66,1.51,0,0,20,103,26,224,200,89.29,4,25,1,8,50,4,100,6,6,2,0,0,0,2,,,,
Jan Paul Van Hecke,NED,DF,1,432,0,2,3,33,3,0,3,0.15,6.86,0,0,11,56,17,360,335,93.06,1,0,1,5,60,4,75,4,2,0,0,0,0,0,,,,
Stephen Eustaquio,CAN,MF,1,444,0,1,4,25,0,4,0,0.1,10.34,44,0,16,91,15,281,244,86.83,42,38,2,15,60,3,100,2,6,0,0,0,0,0,,,,
Nuno Mendes,POR,DF,1,447,0,1,3,33,1,2,0,0.15,6.47,7,0,10,78,16,282,239,84.75,21,29,8,17,53,4,100,3,12,0,0,0,1,0,,,,
Joao Neves,POR,MF,1,450,0,1,3,33,3,0,2,0.25,4.07,1,0,19,192,28,261,247,94.64,2,50,3,9,56,3,67,1,4,0,0,0,0,0,,,,
Yasser Ibrahim,EGY,DF,1,533,0,1,1,100,1,0,1,0.12,8.42,0,0,21,46,24,260,239,91.92,0,0,2,1,0,1,100,6,3,2,0,0,0,2,,,,
Issa Diop,MAR,DF,1,534,0,1,1,100,1,0,1,0.12,8.02,0,0,4,22,3,326,299,91.72,0,0,0,3,0,1,100,4,1,3,0,0,0,3,,,,
Granit Xhaka,SUI,MF,1,673,0,2,9,11,1,8,0,1.16,0.86,0,0,28,116,18,470,427,90.85,4,0,2,15,47,8,100,4,12,2,0,0,0,2,,,,
Cristian Romero,ARG,DF,1,685,0,2,3,33,3,0,3,0.41,2.45,0,0,11,52,22,430,415,96.51,0,0,3,1,0,0,0,9,3,2,0,0,0,2,,,,
Julian Alvarez,ARG,FW,1,690,0,5,11,9,7,4,0,1.39,0.72,0,0,38,285,37,215,183,85.12,1,0,3,4,50,4,100,11,4,0,0,0,2,0,,,,
Lamine Yamal,ESP,FW,1,697,0,12,27,4,13,14,0,2.44,0.41,15,0,22,147,27,265,225,84.91,40,20,35,36,72,3,100,14,9,0,0,0,7,0,,,,
Ezri Konsa,ENG,DF,1,739,0,2,3,33,3,0,2,0.32,3.1,0,0,15,77,22,488,469,96.11,3,0,1,3,100,3,67,8,11,0,0,0,0,0,,,,
Michael Olise,FRA,FW,0,719,7,5,20,0,10,10,0,2.34,0.0,25,0,50,289,32,417,362,86.81,20,25,17,28,75,3,100,5,16,1,0,0,0,1,,,,
Bruno Guimaraes,BRA,MF,0,458,4,2,8,0,5,3,1,1.02,0.0,8,0,37,159,15,200,161,80.5,12,17,0,15,33,4,75,4,7,0,0,0,0,0,,,,
Brahim Diaz,MAR,FW,0,500,4,1,6,0,4,2,0,0.31,0.0,1,0,15,156,24,165,142,86.06,8,38,15,13,46,0,0,3,10,0,0,0,0,0,,,,
Martin Odegaard,NOR,MF,0,537,4,3,9,0,5,4,0,0.72,0.0,12,0,18,195,18,367,322,87.74,16,19,3,18,56,0,0,3,4,0,0,0,0,0,,,,
Florian Wirtz,GER,MF,0,405,3,1,10,0,5,5,0,0.97,0.0,5,0,17,123,18,271,223,82.29,12,42,14,15,67,2,100,1,3,0,0,0,1,0,,,,
Roberto Alvarado,MEX,FW,0,476,3,0,5,0,2,3,0,0.28,0.0,14,0,6,75,13,201,163,81.09,34,32,7,17,47,1,100,3,5,0,0,0,1,0,,,,
Houssem Aouar,ALG,MF,0,191,2,1,3,0,1,2,0,0.24,0.0,0,0,8,61,7,84,79,94.05,1,100,1,3,100,0,0,1,2,0,0,0,0,0,,,,
Hannibal Mejbri,TUN,MF,0,298,2,1,3,0,0,3,0,0.06,0.0,4,0,19,125,17,123,94,76.42,9,33,2,11,55,7,71,4,15,0,0,0,0,0,,,,
Chris Wood,NZL,FW,0,306,2,2,5,0,3,2,2,0.47,0.0,0,0,8,88,5,47,36,76.6,0,0,2,8,13,0,0,2,1,0,0,0,4,0,,,,
Ryan Gravenberch,NED,MF,0,374,2,0,5,0,2,3,0,0.25,0.0,0,0,11,54,15,126,111,88.1,5,20,5,3,67,0,0,5,3,0,0,0,0,0,,,,
Joshua Kimmich,GER,DF,0,392,2,1,5,0,1,4,0,0.15,0.0,15,0,26,55,9,368,336,91.3,25,20,1,9,56,2,100,0,7,0,0,0,0,0,,,,
Nicolas Raskin,BEL,MF,0,396,2,1,2,0,2,0,1,0.13,0.0,0,0,19,98,21,230,197,85.65,8,38,0,8,0,1,100,12,3,0,0,0,0,0,,,,
Denzel Dumfries,NED,DF,0,432,2,2,5,0,4,1,2,0.44,0.0,0,0,24,74,8,179,147,82.12,17,29,1,13,54,0,0,6,3,0,0,0,1,0,,,,
Patrick Berg,NOR,MF,0,519,2,0,3,0,0,3,0,0.29,0.0,10,0,21,168,27,174,161,92.53,13,38,5,1,0,2,100,4,2,1,0,0,0,1,,,,
Dani Olmo,ESP,FW,0,535,2,2,13,0,7,6,2,1.16,0.0,0,0,37,305,24,229,207,90.39,2,0,15,17,76,3,100,6,10,0,0,0,0,0,,,,
Marc Cucurella,ESP,DF,0,857,2,3,5,0,3,2,1,0.35,0.0,0,0,21,113,26,474,433,91.35,15,20,1,13,54,2,100,8,4,1,0,0,4,1,,,,
Jose Manuel Lopez,ARG,FW,0,28,1,0,1,0,1,0,0,0.04,0.0,0,0,2,9,3,2,2,100.0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,,,,
Dennis Hadzikadunic,BIH,DF,0,33,1,0,0,0,0,0,0,0.0,0.0,0,0,1,4,2,10,8,80.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
Tshepang Moremi,RSA,FW,0,44,1,0,0,0,0,0,0,0.0,0.0,0,0,1,18,1,9,6,66.67,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,,,
Yannick Semedo,CPV,MF,0,46,1,0,1,0,0,1,0,0.01,0.0,2,0,3,12,1,35,27,77.14,2,50,0,0,0,2,100,1,1,0,0,0,0,0,,,,
Nadiem Amiri,GER,MF,0,50,1,1,2,0,1,1,0,0.26,0.0,0,0,1,11,0,20,17,85.0,2,50,0,2,50,1,100,0,0,0,0,0,0,0,,,,
Koki Ogawa,JPN,FW,0,56,1,0,3,0,3,0,2,0.22,0.0,0,0,3,18,0,3,3,100.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
Meschack Elia,COD,FW,0,59,1,2,2,0,0,2,0,0.05,0.0,0,0,1,25,3,14,13,92.86,2,0,0,5,60,0,0,2,0,0,0,0,0,0,,,,
Cucho Hernandez,COL,FW,0,66,1,0,1,0,1,0,1,0.04,0.0,0,0,0,24,3,8,5,62.5,1,100,0,0,0,0,0,0,1,0,0,0,0,0,,,,
Abdoulaye Seck,SEN,DF,0,66,1,0,2,0,1,1,1,0.05,0.0,0,0,1,3,1,30,26,86.67,0,0,0,1,0,0,0,1,1,1,0,0,0,1,,,,
Memphis Depay,NED,FW,0,68,1,0,0,0,0,0,0,0.0,0.0,1,0,0,31,2,17,15,88.24,1,100,0,2,100,1,100,1,1,1,0,0,0,1,,,,
Brandon Thomas Asante,GHA,FW,0,70,1,0,0,0,0,0,0,0.0,0.0,0,0,3,28,0,6,3,50.0,2,50,1,0,0,0,0,0,1,0,0,0,1,0,,,,
Takefusa Kubo,JPN,MF,0,77,1,0,1,0,0,1,0,0.01,0.0,0,0,0,49,3,16,12,75.0,0,0,0,2,50,0,0,1,1,0,0,0,0,0,,,,
Ernest Nuamah,GHA,FW,0,109,1,0,0,0,0,0,0,0.0,0.0,0,0,2,58,6,29,20,68.97,0,0,2,2,50,1,100,2,2,0,0,0,0,0,,,,
Kou Itakura,JPN,DF,0,138,1,0,0,0,0,0,0,0.0,0.0,0,0,4,4,2,110,107,97.27,0,0,0,1,100,0,0,1,0,0,0,0,0,0,,,,
Haissem Hassan,EGY,FW,0,138,1,0,1,0,1,0,0,0.09,0.0,0,0,0,44,0,41,35,85.37,9,22,11,13,92,4,100,2,2,2,0,0,0,2,,,,
Kevin Rodriguez,ECU,FW,0,146,1,1,6,0,6,0,2,0.68,0.0,0,0,2,26,6,27,23,85.19,1,0,1,3,67,0,0,3,1,0,0,0,0,0,,,,
Juan Quintero,COL,MF,0,146,1,0,4,0,0,4,0,0.13,0.0,6,0,3,45,0,89,74,83.15,12,33,1,11,64,8,88,0,1,0,0,0,0,0,,,,
Alexandr Sojka,CZE,MF,0,155,1,0,0,0,0,0,0,0.0,0.0,1,0,18,84,9,65,52,80.0,5,40,3,1,0,3,33,0,2,0,0,0,0,0,,,,
Nico Williams,ESP,FW,0,159,1,2,4,0,2,2,1,0.56,0.0,3,0,11,42,1,50,45,90.0,9,22,4,6,83,0,0,2,1,0,0,0,1,0,,,,
Orkun Kokcu,TUR,MF,0,172,1,0,3,0,2,1,0,0.56,0.0,2,0,7,37,9,85,60,70.59,6,0,2,4,25,0,0,2,4,0,0,0,0,0,,,,
Jean Kevin Duverne,HAI,DF,0,186,1,0,1,0,1,0,0,0.03,0.0,0,0,3,56,9,69,59,85.51,2,50,2,1,100,0,0,2,1,0,0,0,1,0,,,,
Wilfried Singo,CIV,DF,0,190,1,0,2,0,2,0,0,0.14,0.0,0,0,13,24,12,92,79,85.87,1,0,3,0,0,0,0,3,1,0,0,0,0,0,,,,
Karim Hafez,EGY,DF,0,198,1,0,1,0,0,1,0,0.01,0.0,0,0,4,36,13,113,99,87.61,2,0,1,2,50,1,100,1,2,0,0,0,0,0,,,,
Ivan Basic,BIH,MF,0,200,1,0,4,0,0,4,0,0.15,0.0,5,0,5,39,8,104,96,92.31,12,58,2,2,50,3,100,2,3,0,0,0,0,0,,,,
Michael Gregoritsch,AUT,FW,0,207,1,0,1,0,1,0,1,0.18,0.0,0,0,9,110,3,29,20,68.97,0,0,0,2,0,0,0,1,1,0,0,0,2,0,,,,
Lucas Bergvall,SWE,MF,0,207,1,0,2,0,2,0,1,0.68,0.0,0,0,10,60,13,88,80,90.91,2,0,2,2,100,0,0,7,4,1,0,0,0,1,,,,
Tijjani Reijnders,NED,MF,0,211,1,2,4,0,3,1,0,0.48,0.0,10,0,7,34,5,67,53,79.1,15,40,0,4,50,0,0,0,3,0,0,0,1,0,,,,
Paul Okon Engstler,AUS,MF,0,214,1,0,0,0,0,0,0,0.0,0.0,1,0,9,78,5,89,77,86.52,1,100,1,6,83,2,100,3,2,0,0,0,0,0,,,,
Marcos Llorente,ESP,DF,0,217,1,0,0,0,0,0,0,0.0,0.0,0,0,12,43,12,152,142,93.42,6,33,1,5,80,0,0,2,1,0,0,0,0,0,,,,
Chemsdine Talbi,MAR,MF,0,217,1,0,2,0,1,1,0,0.05,0.0,0,0,6,59,7,54,47,87.04,9,11,1,3,33,0,0,0,0,0,0,0,0,0,,,,
Thomas Meunier,BEL,DF,0,226,1,1,2,0,1,1,0,0.11,0.0,0,0,17,48,9,116,98,84.48,8,38,1,8,38,2,50,9,0,0,0,0,0,0,,,,
Edmilson Junior,QAT,FW,0,228,1,2,3,0,3,0,0,0.43,0.0,0,0,5,66,11,41,33,80.49,4,25,2,7,43,0,0,4,2,0,0,0,1,0,,,,
Gonzalo Montiel,ARG,DF,0,241,1,0,1,0,1,0,0,0.15,0.0,0,0,3,21,7,100,81,81.0,5,0,0,0,0,0,0,4,2,1,0,0,0,1,,,,
Tim Payne,NZL,DF,0,241,1,0,1,0,0,1,0,0.02,0.0,3,0,5,57,9,87,72,82.76,9,11,1,3,0,0,0,2,2,0,0,0,0,0,,,,
Akmal Mozgovoy,UZB,MF,0,243,1,0,1,0,1,0,0,0.08,0.0,0,0,5,83,8,79,65,82.28,0,0,2,8,50,3,67,0,3,0,0,0,0,0,,,,
Eberechi Eze,ENG,MF,0,247,1,0,5,0,2,3,0,0.28,0.0,1,0,6,59,0,97,89,91.75,3,33,5,7,100,1,100,2,4,0,0,0,1,0,,,,
Christian Pulisic,USA,FW,0,253,1,2,4,0,2,2,0,0.42,0.0,1,0,8,73,9,81,71,87.65,6,17,8,7,71,0,0,1,6,0,0,0,2,0,,,,
Lucas Paqueta,BRA,MF,0,255,1,1,5,0,2,3,1,0.24,0.0,1,0,9,104,17,190,162,85.26,5,0,2,8,63,1,100,3,6,0,0,0,0,0,,,,
Xaver Schlager,AUT,MF,0,265,1,0,1,0,0,1,0,0.02,0.0,0,0,3,76,24,138,130,94.2,1,0,1,1,100,0,0,6,0,0,0,0,0,0,,,,
Nicolas Jackson,SEN,FW,0,271,1,3,7,0,6,1,2,0.56,0.0,0,0,10,106,13,45,36,80.0,1,0,2,4,50,0,0,2,0,0,0,0,5,0,,,,
Amir Alammari,IRQ,MF,0,279,1,0,0,0,0,0,0,0.0,0.0,3,0,19,64,19,125,99,79.2,7,43,1,7,57,0,0,3,0,2,0,0,0,2,,,,
Lamine Camara,SEN,MF,0,287,1,0,3,0,0,3,0,0.14,0.0,5,0,11,124,20,131,117,89.31,8,50,2,4,50,1,100,5,3,1,0,0,0,1,,,,
Ehsan Haddad,JOR,DF,0,287,1,0,1,0,1,0,0,0.03,0.0,0,0,13,80,18,73,54,73.97,7,29,1,9,78,0,0,3,1,0,0,0,0,0,,,,
Mateo Kovacic,CRO,MF,0,293,1,4,5,0,1,4,0,0.46,0.0,0,0,7,95,16,208,198,95.19,0,0,2,3,67,2,100,3,3,0,0,0,0,0,,,,
Ritsu Doan,JPN,MF,0,295,1,0,1,0,0,1,0,0.02,0.0,1,0,9,114,19,105,89,84.76,5,0,1,5,80,0,0,6,5,0,0,0,0,0,,,,
Lee Kangin,KOR,MF,0,300,1,1,4,0,1,3,0,0.15,0.0,9,0,11,81,4,159,140,88.05,20,25,9,12,75,7,86,1,7,1,0,0,0,1,,,,
Vladimir Coufal,CZE,DF,0,301,1,0,1,0,1,0,1,0.02,0.0,9,0,5,49,10,110,79,71.82,20,30,1,10,60,1,0,4,3,0,0,0,1,0,,,,
David Alaba,AUT,DF,0,302,1,0,2,0,0,2,0,0.02,0.0,1,0,5,28,9,222,198,89.19,1,0,0,5,80,1,0,2,0,0,0,0,0,0,,,,
Ibrahim Sangare,CIV,MF,0,305,1,0,1,0,0,1,0,0.0,0.0,0,0,23,114,29,190,172,90.53,1,0,0,4,50,1,100,2,4,0,0,0,0,0,,,,
Noor Alrawabdeh,JOR,MF,0,309,1,0,1,0,0,1,0,0.03,0.0,0,0,20,182,22,111,84,75.68,0,0,4,10,40,5,80,1,0,0,0,0,0,0,,,,
Nico Gonzalez,ARG,MF,0,324,1,1,7,0,7,0,4,0.48,0.0,0,0,12,77,7,109,90,82.57,9,44,5,8,63,0,0,4,3,0,0,0,2,0,,,,
Rayan,BRA,FW,0,327,1,2,5,0,3,2,1,0.76,0.0,1,0,15,112,10,99,93,93.94,10,20,5,5,100,1,100,5,4,0,0,0,1,0,,,,
Arthur Masuaku,COD,DF,0,340,1,0,0,0,0,0,0,0.0,0.0,6,0,9,102,10,169,141,83.43,14,21,2,6,67,5,80,0,4,0,0,0,0,0,,,,
Joao Cancelo,POR,DF,0,342,1,0,3,0,1,2,0,0.06,0.0,1,0,13,66,13,184,160,86.96,12,33,6,9,56,4,75,6,2,0,0,0,1,0,,,,
Facundo Medina,ARG,DF,0,350,1,0,0,0,0,0,0,0.0,0.0,0,0,14,63,15,163,150,92.02,5,40,0,2,100,0,0,3,2,1,0,0,1,1,,,,
Luka Modric,CRO,MF,0,360,1,0,1,0,1,0,1,0.05,0.0,7,0,16,48,12,248,225,90.73,9,44,2,9,44,2,100,4,3,1,0,0,0,1,,,,
Yan Diomande,CIV,FW,0,361,1,0,4,0,3,1,1,0.26,0.0,11,0,20,121,20,142,127,89.44,21,24,15,15,53,1,100,2,7,0,0,0,0,0,,,,
Luis Suarez,COL,FW,0,365,1,0,9,0,7,2,2,0.96,0.0,0,0,13,106,15,53,39,73.58,3,33,2,2,50,0,0,7,8,1,0,0,1,1,,,,
Ryan Mendes,CPV,FW,0,366,1,0,6,0,3,3,0,0.07,0.0,0,0,24,102,14,82,70,85.37,5,0,6,4,50,1,100,1,2,0,0,0,2,0,,,,
Sead Kolasinac,BIH,DF,0,373,1,0,0,0,0,0,0,0.0,0.0,0,0,10,49,17,173,141,81.5,9,11,1,5,20,0,0,6,4,0,0,0,0,0,,,,
Pedro Neto,POR,FW,0,381,1,0,1,0,0,1,0,0.0,0.0,0,0,9,86,8,155,137,88.39,13,23,7,11,73,2,50,4,3,0,0,0,0,0,,,,
Jorge Sanchez,MEX,DF,0,388,1,1,1,0,1,0,0,0.04,0.0,0,0,16,87,21,131,121,92.37,5,20,0,1,0,0,0,5,1,1,0,0,1,1,,,,
Chadi Riad,MAR,DF,0,390,1,0,1,0,1,0,1,0.12,0.0,0,0,7,30,12,226,212,93.81,0,0,1,1,0,1,100,0,1,0,0,0,0,0,,,,
Erik Lira,MEX,MF,0,391,1,0,0,0,0,0,0,0.0,0.0,0,0,17,81,26,199,182,91.46,2,100,2,2,0,5,100,3,4,0,0,0,0,0,,,,
Aurelien Tchouameni,FRA,MF,0,407,1,0,3,0,1,2,0,0.11,0.0,0,0,23,68,20,254,239,94.09,2,0,0,1,100,2,100,4,3,1,0,0,0,1,,,,
Pedro Vite,ECU,MF,0,407,1,1,4,0,1,3,0,0.23,0.0,2,0,34,119,29,297,269,90.57,7,43,1,9,56,2,100,2,5,0,0,0,0,0,,,,
Chancel Mbemba,COD,DF,0,409,1,0,1,0,1,0,0,0.05,0.0,0,0,9,23,12,162,130,80.25,4,0,2,7,43,3,100,1,2,1,0,0,0,1,,,,
Morgan Rogers,ENG,MF,0,411,1,1,3,0,1,2,0,0.13,0.0,0,0,20,162,24,121,102,84.3,6,17,5,13,77,3,100,5,5,0,0,0,2,0,,,,
Konrad Laimer,AUT,MF,0,412,1,0,1,0,0,1,0,0.01,0.0,0,0,19,149,32,150,130,86.67,7,14,3,8,63,0,0,6,3,1,0,0,3,1,,,,
Josip Stanisic,CRO,DF,0,413,1,0,0,0,0,0,0,0.0,0.0,0,0,19,75,17,162,140,86.42,5,20,2,9,67,3,100,0,3,0,0,0,0,0,,,,
Sadio Mane,SEN,FW,0,421,1,3,6,0,4,2,0,0.58,0.0,1,0,14,129,16,129,106,82.17,22,27,10,14,71,2,100,4,10,0,0,0,3,0,,,,
Moussa Niakhate,SEN,DF,0,459,1,0,1,0,1,0,1,0.06,0.0,0,0,12,21,4,290,271,93.45,2,50,0,1,100,4,75,3,6,0,0,0,0,0,,,,
Bruno Fernandes,POR,MF,0,471,1,3,9,0,5,4,0,0.95,0.0,8,0,27,247,20,278,239,85.97,22,23,3,20,65,10,90,2,8,0,0,0,1,0,,,,
David Moller Wolfe,NOR,DF,0,477,1,0,0,0,0,0,0,0.0,0.0,0,0,13,70,22,186,162,87.1,7,14,3,7,43,0,0,7,2,0,0,0,0,0,,,,
Marawan Attia,EGY,MF,0,495,1,1,4,0,1,3,0,0.05,0.0,0,0,18,182,29,357,313,87.68,8,38,0,15,47,8,100,8,1,2,0,0,0,2,,,,
Gustavo Puerta,COL,DF,0,520,1,5,14,0,3,11,0,0.53,0.0,0,0,22,147,30,290,264,91.03,2,0,4,4,50,3,67,9,8,1,0,0,0,1,,,,
Gabriel Magalhaes,BRA,DF,0,520,1,0,1,0,1,0,0,0.03,0.0,0,0,8,23,8,431,413,95.82,0,0,0,2,50,2,100,1,3,0,0,0,0,0,,,,
Rodrigo De Paul,ARG,MF,0,539,1,1,2,0,0,2,0,0.06,0.0,1,0,11,164,17,327,300,91.74,13,38,2,9,67,1,100,2,5,1,0,0,1,1,,,,
Timothy Castagne,BEL,DF,0,546,1,1,3,0,2,1,1,0.14,0.0,0,0,24,127,24,263,230,87.45,20,35,1,8,75,2,50,7,2,1,0,0,0,1,,,,
Mohamed Hany,EGY,DF,0,546,1,0,4,0,0,4,0,0.09,0.0,0,2,10,90,11,282,245,86.88,17,24,4,9,56,1,100,2,1,0,0,0,0,0,,,,
Ricardo Rodriguez,SUI,DF,0,567,1,0,1,0,0,1,0,0.02,0.0,4,0,24,60,16,295,243,82.37,17,18,1,24,33,4,50,11,2,0,0,0,0,0,,,,
Adrien Rabiot,FRA,MF,0,657,1,1,9,0,4,5,2,0.96,0.0,0,0,14,143,38,351,323,92.02,2,0,2,13,77,1,100,13,4,1,0,0,1,1,,,,
Elliot Anderson,ENG,MF,0,713,1,1,7,0,3,4,2,0.38,0.0,3,0,34,191,60,445,396,88.99,6,50,1,17,71,10,90,9,13,1,0,0,0,1,,,,
Dayot Upamecano,FRA,DF,0,740,1,2,4,0,3,1,2,0.54,0.0,0,0,17,73,32,443,409,92.33,0,0,2,6,67,4,100,7,4,0,0,0,0,0,,,,
Aymeric Laporte,ESP,DF,0,824,1,2,5,0,3,2,3,0.36,0.0,0,0,21,34,4,660,618,93.64,0,0,0,12,58,8,100,5,4,1,0,0,0,1,,,,
Aaron Tshibola,COD,MF,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Achref Abada,ALG,DF,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
David Affengruber,AUT,DF,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Aiman Yahya,KSA,FW,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Mohamed Alaa,EGY,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Samet Akaydin,TUR,DF,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Nawaf Alaqidi,KSA,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Abdallah Alfakhori,JOR,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ziyad Aljohani,KSA,MF,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Ahmed Alkassar,KSA,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Saleh Alshehri,KSA,FW,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Nabil Donga,EGY,MF,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Aurele Amenda,SUI,DF,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Joseph Anang,GHA,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ronald Araujo,URU,DF,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
